Input	Result_address	GPS-north-lat	GPS-East-long	Eastings	Northings
IP1 2BU	IP1 2BU	52.057224	1.146599	615817	244544
IP13 0TA	IP13 0TA	52.157464	1.363981	630199	256357
	not found	0	0	0	0
IP4 5PD	IP4 5PD	52.056849	1.197915	619336	244656
IP33 2QZ	IP33 2QZ	52.231662	0.709176	585110	262732
IP3 8LS	IP3 8LS	52.050631	1.192627	619002	243947
IP14 1RF	not found	0	0	0	0
IP1 2BX	IP1 2BX	52.054188	1.143672	615629	244196
IP3 8LS	IP3 8LS	52.050631	1.192627	619002	243947
IP3 8XL	IP3 8XL	52.049877	1.194558	619138	243869
PE30 5PD	PE30 5PD	52.748033	0.408738	562680	319433
HP11 1NH	HP11 1NH	51.628399	-0.743839	487046	192923
OX4 4XN	OX4 4XN	51.717422	-1.229479	453327	202358
OX3 7JX	OX3 7JX	51.750841	-1.22232	453782	206080
OX3 7JU	OX3 7JU	51.749654	-1.214213	454343	205954
OX4 4XN	OX4 4XN	51.717422	-1.229479	453327	202358
MK6 5NG	MK6 5NG	52.026384	-0.73576	486836	237194
SN1 4JS	SN1 4JS	51.550161	-1.797294	414152	183494
OX26 6DU	OX26 6DU	51.897252	-1.158213	458018	222412
OX11 0AG	OX11 0AG	51.604427	-1.260127	451337	189769
OX10 9DU	OX10 9DU	51.594677	-1.128273	460480	188785
OX28 6JJ	OX28 6JJ	51.787407	-1.489856	435285	209984
OX14 1AG	OX14 1AG	51.670023	-1.301891	448375	197036
HP20 1EG	HP20 1EG	51.820414	-0.80254	482631	214209
NN5 6GQ	NN5 6GQ	52.244947	-0.960883	471044	261260
NN5 6UH	NN5 6UH	52.262629	-0.956734	471298	263229
NG31 9DF	NG31 9DF	52.911902	-0.6308	492172	335819
NG31 9DF	NG31 9DF	52.911902	-0.6308	492172	335819
DN21 2DZ	DN21 2DZ	53.39727	-0.775223	481537	389634
LN11 0YJ	LN11 0YJ	53.374514	-0.010598	532445	388250
LN1 1EQ	LN1 1EQ	53.246192	-0.56079	496133	373094
LN2 4WA	LN2 4WA	53.241505	-0.507074	499728	372646
LN6 8UZ	LN6 8UZ	53.185687	-0.576435	495223	366345
PE21 0AX	PE21 0AX	52.96978	0.001874	534534	343255
PE25 2JA	PE25 2JA	53.150528	0.317995	555112	363995
LN2 5QY	LN2 5QY	53.233575	-0.519635	498908	371749
LN2 5QY	LN2 5QY	53.233575	-0.519635	498908	371749
LN1 1EJ	LN1 1EJ	53.243446	-0.5582	496312	372792
PE21 9QS	PE21 9QS	52.991125	-0.009968	533673	345607
NG31 8DG	NG31 8DG	52.921087	-0.640714	491486	336828
NG34 8QA	NG34 8QA	52.982469	-0.455536	503788	343905
NG31 9DF	NG31 9DF	52.911902	-0.6308	492172	335819
DN34 4GB	DN34 4GB	53.564436	-0.112579	525102	409192
NG31 9DF	NG31 9DF	52.911902	-0.6308	492172	335819
PE9 1UN	PE9 1UN	52.657893	-0.468441	503691	307786
PE21 8EG	PE21 8EG	52.975942	-0.033522	532138	343872
LN5 7RZ	LN5 7RZ	53.222581	-0.541944	497444	370493
DA2 7WG	DA2 7WG	51.434795	0.174741	551263	172887
BR6 8NY	BR6 8NY	51.366071	0.056668	543271	165008
SE18 4QH	SE18 4QH	51.478193	0.050043	542461	177463
SE7 8JH	SE7 8JH	51.483451	0.035256	541418	178019
SE18 6PZ	SE18 6PZ	51.49221	0.061519	543214	179044
DA6 8DX	DA6 8DX	51.457638	0.13208	548224	175340
SE9 1TJ	SE9 1TJ	51.450922	0.055499	542925	174441
BR3 3QL	BR3 3QL	51.405232	-0.033209	536898	169191
B13 8QE	B13 8QE	52.440021	-1.89826	407013	282455
TW11 0LR	TW11 0LR	51.424964	-0.340261	515491	170857
SW17 7DJ	SW17 7DJ	51.437358	-0.172348	527130	172513
KT6 7QU	KT6 7QU	51.379085	-0.288494	519209	165838
SW15 4AA	SW15 4AA	51.448266	-0.237533	522572	173615
TW11 8QL	TW11 8QL	51.431345	-0.340009	515494	171567
CR4 4TP	CR4 4TP	51.397252	-0.163262	527875	168069
TW1 3PA	TW1 3PA	51.449369	-0.325697	516443	173594
SM6 0EX	SM6 0EX	51.357354	-0.150251	528892	163655
RM17 5HJ	RM17 5HJ	51.479439	0.325883	561610	178174
ST16 3NE	ST16 3NE	52.813001	-2.115414	392318	323946
ST16 3AG	ST16 3AG	52.810983	-2.110513	392648	323721
WS11 1JN	WS11 1JN	52.691092	-2.032447	397904	310379
DE14 1JS	DE14 1JS	52.80401	-1.628868	425117	323002
TF9 3DQ	TF9 3DQ	52.90176	-2.487914	367278	333925
WV16 4EN	WV16 4EN	52.537874	-2.422947	371410	293419
SY1 4RQ	SY1 4RQ	52.728047	-2.721619	351364	314732
RM17 6NB	RM17 6NB	51.477404	0.323317	561439	177942
WS11 1GR	WS11 1GR	52.688582	-2.032336	397911	310098
WS11 4NJ	WS11 4NJ	52.710493	-2.02663	398298	312537
SY3 8DS	SY3 8DS	52.710406	-2.797736	346202	312824
TF3 4NF	TF3 4NF	52.679802	-2.449875	369672	309221
HA8 0AD	HA8 0AD	51.606478	-0.271248	519812	191153
EN2 8JL	EN2 8JL	51.666528	-0.104009	531219	198118
N15 3TH	N15 3TH	51.580628	-0.092071	532294	188587
NW9 5DH	NW9 5DH	51.597341	-0.253166	521090	190167
N13 4BS	N13 4BS	51.622666	-0.105304	531255	193236
CB21 5EF	CB21 5EF	52.184505	0.188329	549702	256284
CB21 5EE	not found	0	0	0	0
CB2  2AH	not found	0	0	0	0
CB1 2DP	CB1 2DP	52.196231	0.134852	546008	257479
PE29 3RJ	PE29 3RJ	52.331711	-0.179028	524180	271963
CB2 0QQ	CB2 0QQ	52.173741	0.139114	546375	254988
PE3 9GZ	PE3 9GZ	52.583921	-0.279386	516674	299847
CB4 1PR	CB4 1PR	52.217681	0.137829	546143	259872
BL9 7TD	BL9 7TD	53.600439	-2.25562	383181	411570
OL6 9RW	OL6 9RW	53.49153	-2.071433	395358	399427
OL1 2PN	OL1 2PN	53.550382	-2.129113	391543	405980
OL12 9QB	OL12 9QB	53.640264	-2.121386	392072	415979
SK2 7JE	SK2 7JE	53.383778	-2.13202	391316	387445
OL1 1SP	OL1 1SP	53.541747	-2.108413	392913	405017
SK8 2JF	SK8 2JF	53.389173	-2.190632	387419	388054
OL11 3EU	OL11 3EU	53.6017	-2.175555	388480	411696
OL6 6QQ	OL6 6QQ	53.487692	-2.085337	394435	399001
OL4 5PP	OL4 5PP	53.533292	-2.066282	395704	404071
SK1 3QD	SK1 3QD	53.402212	-2.154772	389807	389497
OL4 1DP	OL4 1DP	53.540009	-2.100032	393468	404821
BL9 0JT	BL9 0JT	53.594992	-2.294795	380586	410974
M26 2QD	M26 2QD	53.565754	-2.309285	379613	407727
OL4 1DE	OL4 1DE	53.540503	-2.100908	393410	404876
OL10 3RY	OL10 3RY	53.587888	-2.241075	384139	410172
SK4 1QQ	SK4 1QQ	53.416886	-2.165133	389122	391133
OL6 7SR	OL6 7SR	53.485827	-2.099981	393463	398793
SK15 2AU	SK15 2AU	53.484668	-2.059094	396176	398661
BL9 0EQ	BL9 0EQ	53.59034	-2.294055	380633	410458
SK16 4XE	SK16 4XE	53.466849	-2.093565	393886	396681
SK1 3XE	SK1 3XE	53.405974	-2.158487	389561	389918
LE3 9EJ	LE3 9EJ	52.653293	-1.180245	455552	306489
LE3 9QP	LE3 9QP	52.654362	-1.180018	455566	306608
LE3 0QU	LE3 0QU	52.630096	-1.157925	457092	303926
LE10 1DS	LE10 1DS	52.541052	-1.367743	442977	293874
LE67 4DE	LE67 4DE	52.722883	-1.349847	444009	314113
LE3 9DZ	LE3 9DZ	52.655637	-1.182404	455403	306748
LE5 0LE	LE5 0LE	52.648673	-1.093765	461408	306043
LE18 2LA	LE18 2LA	52.581525	-1.10664	460630	298565
LE19 4LN	LE19 4LN	52.582785	-1.213469	453390	298621
LE3 9EJ	LE3 9EJ	52.653293	-1.180245	455552	306489
LE5 4QF	LE5 4QF	52.630611	-1.085532	461991	304043
LE3 9DZ	LE3 9DZ	52.655637	-1.182404	455403	306748
LE7 7GX	LE7 7GX	52.66312	-1.176255	455809	307583
LE7 7GX	LE7 7GX	52.66312	-1.176255	455809	307583
GL53 9DZ	GL53 9DZ	51.881059	-2.073674	395025	220279
GL1 3PX	GL1 3PX	51.865641	-2.226895	384473	218586
GL51 9EZ	GL51 9EZ	51.907378	-2.082453	394424	223207
GL50 4NB	not found	0	0	0	0
NW10 7NS	NW10 7NS	51.530936	-0.269161	520157	182756
W10 6DZ	W10 6DZ	51.522362	-0.217218	523783	181889
W8 5LW	W8 5LW	51.496694	-0.191615	525628	179078
SW10 9NG	SW10 9NG	51.484323	-0.180246	526453	177722
SW1V 2RH	SW1V 2RH	51.492338	-0.135789	529517	178691
KT19 7HA	KT19 7HA	51.345115	-0.285016	519541	162066
HA2 0UE	HA2 0UE	51.56732	-0.363104	513549	186652
HA1 3QF	HA1 3QF	51.560505	-0.333896	515592	185940
HA1 3UJ	HA1 3UJ	51.575407	-0.322037	516376	187616
W9 2BA	W9 2BA	51.522829	-0.200075	524971	181970
UB8 3NN	UB8 3NN	51.526077	-0.461175	506850	181918
NW9 9QY	NW9 9QY	51.590203	-0.281894	519118	189326
W8 5LW	W8 5LW	51.496694	-0.191615	525628	179078
MK2 3QH	MK2 3QH	51.979909	-0.72598	487599	232038
MK6 5LD	MK6 5LD	52.026384	-0.73576	486836	237194
MK3 6EN	MK3 6EN	51.997414	-0.747638	486078	233959
SE6 4RU	SE6 4RU	51.445254	-0.020152	537684	173666
SE5 7UD	SE5 7UD	51.474172	-0.083801	533177	176764
SE13 6QJ	SE13 6QJ	51.454527	-0.014912	538022	174707
CR0 2PR	CR0 2PR	51.38977	-0.105034	531947	167340
BR1 5PS	BR1 5PS	51.427111	0.003952	539416	171694
SE1 8EL	SE1 8EL	51.499819	-0.104208	531686	179579
CR0 1QG	CR0 1QG	51.370186	-0.099665	532377	165172
SW9 9NU	SW9 9NU	51.465315	-0.122249	530534	175710
SE5 8AZ	SE5 8AZ	51.468738	-0.091441	532664	176146
BR3 3BX	BR3 3BX	51.377782	-0.029228	537255	166146
SE13 6LH	SE13 6LH	51.453022	-0.017916	537816	174534
SE11 6JJ	SE11 6JJ	51.490072	-0.115474	530932	178475
SW9 7AA	SW9 7AA	51.468543	-0.113233	531151	176085
SE5 8RS	SE5 8RS	51.471845	-0.092754	532562	176489
SE1 3SU	SE1 3SU	51.502516	-0.084773	533027	179914
SE13 7DW	SE13 7DW	51.46526	-0.007204	538525	175915
CR8 2NE	CR8 2NE	51.341123	-0.114766	531409	161913
SE8 4AT	SE8 4AT	51.475801	-0.026966	537119	177050
SW9 8DG	SW9 8DG	51.462065	-0.116984	530909	175358
SW9 6AA	SW9 6AA	51.469545	-0.112961	531167	176197
HU3 2HE	HU3 2HE	53.739152	-0.352085	508830	428309
HU13 9NW	HU13 9NW	53.725758	-0.418224	504462	426643
HU6 8QA	HU6 8QA	53.769799	-0.374882	507209	431609
HU3 5QE	HU3 5QE	53.742011	-0.384658	506635	428503
HU9 2BH	HU9 2BH	53.749959	-0.308347	511647	429502
HU8 0RB	HU8 0RB	53.773597	-0.286622	513016	432166
HU16 5JQ	HU16 5JQ	53.776733	-0.444985	502572	432277
HU3 2RT	HU3 2RT	53.744358	-0.362201	508110	428798
HU10 6ED	HU10 6ED	53.771873	-0.449206	502306	431728
BA1 3QE	BA1 3QE	51.388604	-2.392313	372798	165580
BS10 5NB	BS10 5NB	51.494806	-2.591016	359067	177484
BS16 2EW	BS16 2EW	51.483145	-2.538833	362680	176159
BS23 4TQ	BS23 4TQ	51.322335	-2.971399	332406	158585
BS24 7AY	BS24 7AY	51.352896	-2.913612	336475	161932
BS15 3HY	BS15 3HY	51.443583	-2.512007	364512	171746
SN10 5DS	SN10 5DS	51.33915	-1.981303	401399	160007
SN3 4WF	SN3 4WF	51.587246	-1.747839	417566	187629
SP2 7EP	SP2 7EP	51.072496	-1.809038	413475	130370
SN3 6BW	SN3 6BW	51.538805	-1.725917	419105	182247
BS16 1EG	BS16 1EG	51.484598	-2.537367	362783	176320
BS4 5BJ	BS4 5BJ	51.431265	-2.557555	361336	170399
TN23 4RR	TN23 4RR	51.145807	0.845744	599141	142355
SO14 0YG	SO14 0YG	50.912381	-1.397067	442484	112720
PO9 2AW	PO9 2AW	50.858014	-0.978633	471984	106998
SO22 5DL	SO22 5DL	51.0623	-1.330817	446991	129431
SO21 1HL	SO21 1HL	51.062133	-1.250721	452603	129467
SO40 2RA	SO40 2RA	50.924721	-1.517868	433983	114029
SO15 2JX	SO15 2JX	50.920496	-1.406731	441798	113616
